,texts,dates,titles
122,"
                    
                        Report details investment and actions in key areas.
                    

Record investment of almost Â£8.5 billion was committed to support low income households between 2018-22, with almost Â£3.3 billion benefitting children.
The fourth annual progress report on child poverty, published today, shows that all of the actions committed as part of the first Tackling Child Poverty Delivery Plan, Every Child, Every Chance, have been delivered.
The plan focused on three drivers of child poverty reduction â€“ work and earnings, social security and household costs â€“ and on the six priority family types at greatest risk of poverty, including lone parent families and families with a disabled adult or child.
Key achievements over the life of the plan (2018-22) include:
introduction of the Scottish Child Payment, with more than 1.2 million payments between February 2021 and March 2022 â€“ a Â£58.6 million investment
increase in the number of real Living Wage accredited employers, with the proportion of people earning the real Living Wage or more rising from 80.6%Â in 2018 to 85.6% in 2021
increase in the funded hours for Early Learning and Childcare from 600 hours in 2018 to 1,140 hours in August 2021, saving families up to Â£4,900 per eligible child in 2021
delivery of 35,095 affordable homes, 25,562 of which were for social rent â€“ supporting an estimated 11,585 households with children into affordable housing between 2018-22
extension of concessionary travel to all under 22s, with approximately 930,000 young people eligible for support â€“ saving families up to Â£3,000 by the time their child turns 18
expansion of universal free school meals to children in primaries 4 and 5, saving families around Â£400 per child and increasing School Clothing Grant to at least Â£120 for eligible primary school children and Â£150 for those in secondary school in 2021
Social Justice Secretary Shona Robison said:
â€œOver the last four years, we have strengthened the foundations of support for children and families and used our powers to support those most in need, particularly with the introduction of our new social security system.
â€œWe are now supporting low income households, carers and helping disabled people lead independent lives through 12 benefits, seven of which are entirely new and not available anywhere else in the UK.
â€œWe have made progress despite significant challenges. The pandemic and the continued impact of UK Government welfare reforms has disproportionately impacted the most disadvantaged and been severe. And, of course, households are all now facing the current cost of living crisis.
â€œThat is why we remain determined to continue with our national mission to tackle child poverty.Â  Our second Tackling Child Poverty Delivery Plan for 2022-26, Best Start, Bright Futures, is ambitious and has a range of actions to support families both immediately and in the long term to deliver change.
â€œWe will also continue to call on the UK Government to reverse their welfare reforms, including the two-child limit. Analysis shows that reversing them would put an estimated Â£780 million in the pockets of Scottish households in 2023-24 and help to lift 70,000 people out of poverty, including 30,000 children.â€
Background
Fourth Annual Tackling Child Poverty Progress Report
Tackling Child Poverty Delivery Plan 2018-22: Every Child, Every Chance
Tackling Child Poverty Delivery Plan 2022-26: Best Start, Bright Futures
Welfare Reform and Child Poverty
The six priority family types identified as being at higher risk of child poverty are: lone parent families, minority ethnic families, families with a disabled adult or child, families with a younger mother (under 25), families with a child under 1, and larger families (3+ children).            ",6/29/2022,Delivering on child poverty commitments
123,"
                    
                        Revamp ahead of schemeâ€™s milestone.
                    

Scotlandâ€™s Baby Box has been refreshed in time for its fifth anniversary.
The new look box has updated clothing designs and now includes a baby toothbrush to support early oral health.
Every newborn in Scotland is entitled to a Baby Box, with around 222,450 delivered to families since the scheme began in August 2017.
Speaking during a visit to APS (Group) Scotland in Edinburgh, who pack and distribute the box, Childrenâ€™s Minister Clare Haughey said:
â€œAs every parent knows, the costs associated with having a baby are significant. Household budgets are under increasing pressure from the rising cost of living, so it is reassuring to know that all families in Scotland, regardless of their circumstances, have access to essential items needed for the first six months of their newbornâ€™s life.
â€œUptake for the Baby Box has grown to about 98% since it was introduced in 2017. As we head towards the fifth anniversary, I am proud that the Baby Box continues to support newborns and their families.â€
Chief Dental Officer Tom Ferris said:
â€œI am really pleased to see a toothbrush included in the Baby Box for the first time.Â  Good oral habits are essential to achieving excellent mouth health, and this will allow us to support families in achieving this from the very beginning of life.â€
Beverley Walsh, Head of Services at APS Group (Scotland), said:
â€œThe Baby Box initiative has created sustainable employment opportunities for local people, where possible supporting targeted groups. We work with training organisations, local schools and colleges, with the Baby Box supporting up to four modern apprenticeship positions and work experience placements each year.â€
Background
The Baby Box provides families with a range of essential items for the first six months of their babyâ€™s life, delivered in a sturdy cardboard box which can be used as a safe sleeping space during the early months. The contents of the box are designed to inform and support positive parenting behaviours.
In an independent evaluation, 97% of parents who took part in research rated the box and its contents as good.
Baby Box Evaluation: research findings
Baby Box Evaluation â€“ full report
APS Group (Scotland) has the managing agent contract for Scotlandâ€™s Baby Box programme from April 2022 until 31 March 2027, with the possibility of a two-year extension.
The BSI has developed a new safety standard for baby sleeping boxes which was published on 25 November 2021. Before the Baby Box specific standard was developed, Scotlandâ€™s Baby Box conformed to the applicable elements of the accreditation for cribs and cots (BS EN 1130).
The new clothing designs were voted for in a poll conducted on the Parent Club website. Find out more about the Baby Box atÂ Parent Club Scotland.            ",6/29/2022,Celebrating five years of the Baby Box
124,"
                    
                        Independent report into funding for tax and welfare devolution.
                    

Â 
An assessment will be carried out into how funding for the Scottish Government is calculated.
During a meeting of the Joint Exchequer Committee (JEC) the UK and Scottish Governments announced an independent report has been commissioned to evaluate the block grant adjustment funding arrangements for tax and welfare devolution against the principles agreed by the Smith Commission.
The report is expected to be delivered within four months, and its findings will inform a broader review of the Scottish Governmentâ€™s Fiscal Framework.
Cabinet Secretary for Finance and Economy Kate Forbes said:
â€œOur experiences of dealing with the pandemic and supporting those struggling with the cost of living crisis clearly demonstrate how difficult it is to take vital action without sufficient fiscal powers.
â€œThe forthcoming review of the Fiscal Framework is an opportunity to consider the future of Scotlandâ€™s funding arrangements in the interests of fairness, accountability and sound governance. This independent report is an important step in that process and I look forward to hearing from a wide range of stakeholders throughout the process.â€
Chief Secretary to the Treasury Simon Clarke said:
""Launching this independent report is an important step in our review of the Fiscal Framework, which ensures fair and sustainable funding for Scotland's future, and I look forward to reading the findings later this year.
""We are stronger together, and I am committed to continuing to work with the Scottish Government on a way forward, not just for the review of the Fiscal Framework, but across all of the big issues of the day.""
Background
The Finance Secretary and the Chief Secretary to the Treasury attended an online meeting of the Joint Exchequer Committee (JEC) today. The JEC is the intergovernmental ministerial forum to discuss financial and fiscal matters relating to the Scotland Act 2016 and accompanying Fiscal Framework.
The original Fiscal Framework agreement states that a review of the framework should occur after a parliament's worth of experience, and that the review should be preceded by an Independent Report presented to both governments.Â The review will begin shortly after the report has been completed.
The independent report will be co-authored by Professor David Bell (University of Stirling), David Eiser (Fraser of Allander Institute at the University of Strathclyde) and David Phillips (Institute for Fiscal Studies), who are leading experts and have published extensively on the Fiscal Framework.
A call for evidence from stakeholders is planned to open at the end of July and close by mid- September 2022. Further details on how to contribute will be announced in due course.
Changes to the Scottish block grant are largely calculated by the Barnett formula, but adjustments need to be made to reflect that some of the budget is now funded by Scottish tax revenues previously retained by the UK Government, and because the Scottish Government now has responsibility for elements of welfare.
Smith Commission principles.
Terms of Reference for report.            ",6/27/2022,First step to Fiscal Framework Review
125,"
                    
                        Maintaining a balanced budget to fund key priorities.
                    

The 2021-22 Provisional Outturn has been published detailing how the Scottish Government spent Â£47 billion on funding key public services to mitigate the impacts of the Covid pandemic and help tackle rising cost of living pressures.
The remaining Â£650 million of available funding has been carried over through the Scotland Reserve and allocated to support key priorities for 2022-23, which include tackling child poverty and striving towards our climate change targets.Â 
The Finance Secretary has previously made clear to Parliament that unexpected and late consequential funding from the UK Government was being factored into spending plans for 2022-23 and that any plan to carry forward funding requires the Government to use the Scotland Reserve, which will therefore be presented as an underspend.
Throughout 2021-22 the Scottish Government has:
spent over Â£5.7 billion in relation to Covid, including over Â£2.6 billion to support health and wider public health initiatives, and around Â£1.5 billion in business support and self-isolation grants
provided over Â£3.5 billion on Social Security benefits, including Â£57 million towards the Scottish Child Payment
committed an additional Â£4 million of humanitarian aid, as the first part of a contribution to support the Ukraine crisis
invested a record Â£1.9 billion to tackle climate changeÂ 
Public Finance Minister Tom Arthur said:
â€œThe Scottish Government has had to respond quickly and decisively to significant challenges, in particular the ongoing effects of the pandemic, the cost of living crisis and the tragic illegal war in Ukraine. However, despite these difficult circumstances, our prudent financial management has meant every penny received by the Scottish Government has been channelled to where it was needed the most.Â 
â€œWe face the same interrelated challenges as other governments across the world but we do so â€“ currently - without the tools and levers other governments have at their disposal. The current fiscal framework is inadequate and leaves an imbalance between the risks to which the Scottish Budget is exposed to and the levers that we have to manage those risks.Â 
â€œWe have delivered on our priorities, maintained the balance of not breaching our fixed budgetary limits and ensured we have sufficient balances to fund our 2022-23 spending commitments.â€
BACKGROUND
Read the statement made to Parliament by Public Finance Minister
Read the Scottish Budget 2022-23
The overall underspend for 2021-22 is Â£650 million and is split between:
a Â£421 million resource underspend. Resource budgets fund the day to day costs of delivering public services
a Â£183 million capital underspend. Capital budgets support the delivery of public infrastructure
a Â£46 million financial transactions underspend which can only be used for loans or equity investments to bodies outside the public sector
The majority of this carry forward was anticipated and is already included in 2022-23 funding plans, specifically: Â£324 million anticipated within the initial 2022-23 Budget, and Â£120 million to support Local Government 2022-23 costs at stage 1 of the Budget Bill process. The remaining balance of Â£206 million represents just 0.4% of the Scottish Government budget.Â 
The Finance Secretary informed the Finance and Public Administration Committee on 1st February that if any carry forward was required, the Scottish Government would have to use the Scotland reserve. Speaking then, Kate Forbes said: â€œAs members may be aware, any plan to carry forward funding requires the Government to use the Scotland reserve, which will therefore be presented as an underspend on this yearâ€™s funding when the final outturn is published later this calendar year. I hope that we can all recall our conversation at todayâ€™s committee when it comes to scrutinising that position later this year.â€            ",6/23/2022,Managing Scotlandâ€™s finances
126,"
                    
                        Extra money for unemployed young people who are starting work
                    

Eligible 16-24 year olds who are already receiving certain other benefits or tax credits are being encouraged to apply for Job Start Payment - a one-off payment worth Â£267.65, or Â£428.25 if the applicant has children.
Job Start Payment helps young people with the costs of starting a job after a period of being unemployed. The payment can help with the costs of travel, work clothes or childcare.
Speaking at Start Scotland, which delivers an employability programme supporting young people in Edinburgh, Minister for Social Security Ben Macpherson said:
â€œOur Job Start Payment provides financial support for eligible young people who are starting a new job. We have provided this payment since summer 2020 and want to see even more people making use of it, particularly given the current cost of living pressures.
â€œThe payment is designed to support young people with the costs of starting a job by relieving financial pressures, as they wait for their first pay cheque.
â€œWe are also helping young people to access education and employment by providing free bus travel to all under 22 year olds. This will help young people travel sustainably, while cutting commuting costs for people starting a new job â€“ meaning that young people can use their Job Start Payment to pay for other costs.
â€œI would encourage anyone who thinks they may be eligible to find out more from Social Security Scotland and apply for this benefit, which is only available in Scotland.â€
Job Start Payment is available to eligible young people who have been offered a job after being out of work for at least six months to the day they were offered the job and are in receipt of a qualifying benefit. Care leavers can apply for a further year, up to the day before their 26th birthday, and only need to be out of work and in receipt of a qualifying benefit on the day of their job offer.
Young people can find pre-application advice for Job Start Payment, which includes eligibility and award amounts, and apply at the mygov.scot website.            ",6/22/2022,Young people urged to apply for Job Start Payment
127,"
                    
                        Rural Affairs Secretary confirms change to payment strategy.
                    

Annual farm payment dates are to be brought forward to September, in an effort to support Scotlandâ€™s farmers with cash flow and the cost of living crisis.
Rural Affairs Secretary Mairi Gougeon has confirmed that, subject to the approval of the Scottish Parliament, farmers and crofters will receive their advance payment for the Basic Payment Scheme (BPS) and Greening around a month earlier than originally planned.
The decision follows a request from farming groups in Scotland to relieve immediate inflationary pressures and protect jobs in Scotlandâ€™s world-leading food and drink sector.
Following a review of the legislative, IT and budget requirements to bring the date forward, payments will now start to issue from 19 September 2022 instead of 16 October 2022.
Rural Affairs Secretary Mairi Gougeon said:
â€œGiven the sharp rise in energy, fuel and fertiliser costs in recent months, I am acutely aware that businesses across Scotland are facing a hugely challenging increase in their bills.
â€œThis is compounding the challenging operating environment caused by the COVID-19 pandemic and the hard Brexit imposed on Scotland by the UK Government, which has inflicted significant and lasting damage on our world class food and drink industries, rural and coastal communities.
â€œThat is why I have listened to the representations from the farming and crofting community and will bring forward the advance payment start date to as early in the year as is practicably possible. The intention is to support businesses, as far as possible, with immediate cash flow challenges.
â€œWhile the start date of payments may change, the target remains the same - to pay over 70% anticipated expenditure by end December 2022 and 95.24% anticipated expenditure by end February 2023.â€
Annually, the Scottish Government pays out around Â£420 million through the Basic Payment Scheme and Greening payments.
In 2022 the Scottish Governmentâ€™s farm payment strategy will see a transition away from providing manual loan payments to automated scheme advance payments.
Background
More information is available on the Scottish Governmentâ€™s Rural Payments and Services website.
The Rural Support (Simplification and Improvement) (Scotland) Regulations 2022 were laid in the Scottish Parliament on 16 June 2022.            ",6/16/2022,Farm payment dates to be brought forward
128,"
                    
                        Finance Interministerial Standing Committee.
                    

Finance Ministers across the UK met in Cardiff today, with how to support people and businesses with soaring bills dominating discussion.
The price of food, fuel, energy, clothes, travel costs and rent continue to go up as inflation rises. And OFGEM has warned energy bills are set to rise again by around Â£800 per year in October. This is against the backdrop of increasing concerns about the impact of the crisis on individualsâ€™ health and wellbeing.
The UKâ€™s Finance Ministers discussed what more can be done to help people cope with this crisis at a joint Committee which considers fiscal and economic matters affecting the UK. Todayâ€™s meeting was the first time the Committee met in Cardiff.
Ministers also considered concerns about EU replacement funding, as well as Covid recovery and the move towards net zero. The need to invest in renewables to ensure energy security was discussed, along with how to make sure people are able to meet the costs of their energy needs now and in the future.
Following the meeting, the Northern Irish, Scottish and Welsh Ministers visited South Point Primary School in Rhoose â€“ Walesâ€™ first net zero school.
Cabinet Secretary for Finance and Economy Kate Forbes said:
â€œAs we continue our economic recovery from the pandemic and the ongoing cost of living crisis, we must firmly focus government and public sector resources on delivering clear priorities, including tackling child poverty, growing the economy and meeting our climate change targets.
â€œAccording to the Scottish Fiscal Commission (SFC), the overall Scottish Budget fell by 5.2% in real terms between 2021-22 and 2022-23 with a further 1% real-terms reduction forecast sustained until 2025-26.
â€œWhile we are doing all we can with the finite financial resources and limited powers currently available to us to tackle the rising cost of living, the UK Government needs to use the powers at its disposal to help those most in need, including low income households and families with children as well as businesses.â€
Wales's Minister for Finance and Local Government Rebecca Evans said:
â€œThe UK Government needs to use the levers at its disposal to take further urgent steps to target gaps in support, particularly to help lower income households and families with children, and to boost businesses who are also feeling the impacts of rising costs.
Removing all social and environmental policy costs from household energy bills, for example, and introducing a lower price cap for lower income households, would help them to meet the costs of their energy needs now and in the future.
Our budget is now worth at least Â£600m less than when we made our spending plans last year. We call on the Chancellor to increase it in line with inflation so that we can support NHS recovery following the pandemic, invest in jobs and growth, and boost our cost of living response.â€
Commenting after the meeting, Northern Ireland's Finance Minister Conor MurphyÂ said:Â 
""The collective message to Treasury today was clear - more must be done to help households and businesses facing an unprecedented cost of living crisis. While Treasury has announced assistance for citizens they must now look at supportingÂ businesses which are also facing increased fuel and energy costs against a backdrop of trying to recover from the impact of the Covid-19 pandemic. Along with the Welsh and Scottish Finance Ministers I impressed upon the Chief Secretary to the Treasury the need for further measures to be taken. I once again called on Treasury to reduce VAT on energy bills.
â€œI also reiterated to the Chief Secretary to the Treasury the need to ensure the citizens of the North are not disadvantagedÂ when it comes to the Â£400 Energy Bill Support Scheme payment because of the absence of an Executive. We haveÂ committed to continue the engagement between my Department and Treasury to ensure a solution is found to deliver support locally.â€
Background
The Finance Interministerial Standing Committee was attended by:
Kate Forbes (Scottish Government Cabinet Secretary for Finance and Economy)
Conor Murphy (Northern Ireland Finance Minister)
Rebecca Evans (Welsh Government Minister for Finance and Local Government)
Simon Clarke (UK Government Chief Secretary to the Treasury)
More information about the Committee is available here.            ",6/15/2022,Cost of living top of the agenda for Finance Ministers
129,"
                    
                        FM: â€˜Itâ€™s time to talk about independenceâ€™
                    

Setting out the fresh case for Scotland to become an independent country began today as First Minister Nicola Sturgeon declared â€˜Itâ€™s timeâ€™ and published new analysis showing the prize of independence is a wealthier, fairer Scotland.

The Scottish Government analysis â€“ Independence in the Modern World. Wealthier, Happier, Fairer: Why Not Scotland? â€“ details how neighbouring countries such as Sweden, Ireland, Denmark and Finland use their powers of independence to achieve economic success, business dynamism and fairer societies.

The evidence shows that:

the comparator countries are all wealthier â€“ some a lot wealthier â€“ than the UK
 income inequality is lower in all the comparator countries
 poverty rates are lower in all the comparator countries
 there are fewer children living in poverty in all the comparator countries
 the comparator countries all have higher productivity â€“ often significantly higher â€“ than the UK
 business investment tends to be higher in all the comparator countriesÂ  Â  Â 
It is the first in a series of papers called Building a New Scotland that will together form a prospectus for an independent Scotland to enable people to make an informed choice about Scotlandâ€™s future before any referendum takes place.

First Minister Nicola Sturgeon said:

â€œToday, Scotland â€“ like countries across the world â€“ faces significant challenges. But we also have huge advantages and immense potential. The refreshed case for independence is about how we equip ourselves to navigate the challenges and fulfil that potential, now and in future.

â€œIn their day to day lives, people across Scotland are suffering the impacts of the soaring cost of living, low growth and increasing inequality, constrained public finances and the many implications of a Brexit we did not vote for. These problems have all been made worse or, most obviously in the case of Brexit, directly caused by the fact we are not independent.

â€œSo at this critical juncture we face a fundamental question. Do we stay tied to a UK economic model that consigns us to relatively poor economic and social outcomes which are likely to get worse, not better, outside the EU? Or do we lift our eyes, with hope and optimism, and take inspiration from comparable countries across Europe?

â€œComparable neighbouring countries with different characteristics. Countries that, in many cases, lack the abundance of resources that Scotland is blessed with. But all of them independent and, as we show today, wealthier and fairer than the UK.

â€œTodayâ€™s paper â€“ and those that will follow in the weeks and months ahead â€“ is about substance. That is what really matters. The strength of the substantive case will determine the decision people reach when the choice is offered â€“ as it will be â€“ and it is time now to set out and debate that case.

â€œAfter everything that has happened it is time to set out a different and better vision. It is time to talk about making Scotland wealthier and fairer. It is time to talk about independence â€“ and then to make the choice.â€

Scottish Government Minister and Scottish Green Party Co-Leader Patrick Harvie said:

â€œThis paper sets out a detailed, evidence-based assessment of how the UK performs in comparison to a group of European countries. It shows how we are being held back environmentally, socially and economically by a UK Government that does not have the interests of the people of Scotland in mind. And it shows that with the powers of independence we could make different decisions than those made by the UK government, and build a more prosperous, equal and greener Scotland.

â€œAs we seek to deliver the transition to a net-zero economy and address a cost of living crisis that is being turbo-charged by Brexit, there could not be a more important time to give the people of Scotland a choice over our future. The Building a New Scotland papers will help ensure that choice is an informed one, and I hope that everyone will join us in a positive and constructive national debate about Scotlandâ€™s future.â€

Background

Independence In The Modern World. Wealthier, Happier, Fairer: Why Not Scotland?            ",6/14/2022,Building a new Scotland
130,"
                    
                        Calls for further engagement on Northern Ireland Protocol.
                    

Scottish Ministers are calling on the UK Government to withdraw legislation aiming to abandon parts of the Northern Ireland Protocol negotiated with the European Union.
Following the publication of the legislation, External Affairs Secretary Angus Robertson has reiterated the danger that disregarding parts of the UK-EU Withdrawal Agreement could lead to a trade war when the UK is already close to recession and in the middle of a cost of living crisis.
Mr Robertson said:
â€œIt is extremely reckless and frustrating that the UK Government has decided to bring forward this legislation. The UK Government has deliberately set itself on an entirely avoidable collision course with the EU. Brexit is forecast to cause more harm to the economy than COVID, and this action by the UK Government could trigger significant additional damage to our economy when we are already facing the worst cost of living crisis seen for decades.
â€œScotland has direct interests at stake in the Protocol, particularly in trade and border control, and yet the UK Government has shown no willingness to engage us on these issues. It is also directly impacting other Scottish interests, such as participation in the flagship Horizon Europe research programme. Â 
â€œWe have repeatedly called for the UK Government to step back from this confrontational approach and focus instead on dialogue with our European partners, who stand willing to work in partnership to find a negotiated solution. Those calls have also been ignored.
â€œWe urge the UK Government to return to the negotiating table and withdraw this Bill. It is inconceivable to think that the Scottish Government would recommend legislative consent for a bill that would negatively impact Scotlandâ€™s economy, that could be deemed to break international law and could risk sparking a trade war with our fellow Europeans, which is in no oneâ€™s interests.â€
Background
Office for Budget Responsibility forecasts indicate that the impact of Brexit on UK productivity will be worse in the long run than COVID-19. OBR analysis indicates Brexit will reduce the UKâ€™s potential productivity by 4% in the long run, whereas the pandemic is expected to reduce it by 2%.
Horizon Europe and the Northern Ireland Protocol: letter to Minister for Science, Research and Innovation             ",6/13/2022,Northern Ireland Protocol legislation â€œrecklessâ€
131,"
                    
                        Low Income Winter Heating Assistance will support 400,000 households.
                    

A guaranteed annual winter heating benefit of Â£50 will be paid for the first time in February 2023 to around 400,000 low income households.
Low Income Winter Heating Assistance will be the Scottish Governmentâ€™s 13th benefit and replaces the UK Governmentâ€™s Cold Weather Payments. The UK Government benefit is unreliable for households on low incomes as it only triggers a Â£25 payment when a â€˜cold spellâ€™ requirement is met and temperatures fall below zero degrees Celsius for seven days in a row in a certain place.
Instead, the Scottish Government will invest an annual Â£20 million in Low Income Winter Heating Assistance, which will provide a reliable payment every winter to help with energy bills.
Plans for Low Income Winter Heating Assistance have been welcomed by people with experience of the benefits system. 90 per cent of members of the Social Security Experience Panel agreed with the plan to remove the â€˜cold spellâ€™ requirement, and provide a reliable payment instead.
Social Security Minister Ben Macpherson said:
â€œOur new Low Income Winter Heating Assistance benefit will provide a reliable payment every winter to around 400,000 eligible households, including pensionersÂ  and disabled people. This extra financial support from the Scottish Government will help at this time of rising energy bills and other cost of living pressures.
â€œUnlike the current Cold Weather Payments, Low Income Winter Heating Assistance will provide support to people irrespective of weather conditions or temperature levels where they live.Â It will be our thirteenth devolved benefit and will only be available in Scotland. It will also be an automatic payment to all those who are eligible, so there is no need to apply.
â€œOur Â£20 million annual investment will be a significant increase in support to around 400,000 households â€“ compared with only Â£325,000 and 11,000 payments made by the UK Government in Cold Weather Payments in Scotland in winter 21-22.
â€œMaking payments in February for the first year of Low Income Winter Heating Assistance will ensure a smooth transition from the UK scheme. We will explore the feasibility of bringing forward the payment date to earlier in winter in future years.
â€œThis winter we will also be extending and increasing our Scottish Child Payment in November, as well as making Child Winter Heating Assistance payments for the third time. Both of these benefits are not available elsewhere in the UK.â€
Background
The Social Security Experience Panel informs key decisions in the design of social security in Scotland and members were asked between February and March 2022 about Low Income Winter Heating Assistance.
The Consultation Analysis of Low Income Winter Heating Assistance and the Scottish Government's response have also been published.
The current UK Governmentâ€™s Cold Weather Payments triggers a Â£25 payment only when temperatures are recorded or forecast at below zero degrees Celsius for seven days in a row. Low Income Winter Heating Assistance will provide financial stability through an automatic Â£50 payment, no matter the weather.
Low Income Winter Heating Assistance is the 13th benefit to be introduced by the Scottish Government. A â€˜qualifying weekâ€™ has been set for November, with the money paid to all eligible households in February 2023.
An individual may be eligible to receive Low Income Winter Heating Assistance if they are in receipt of any ofÂ Pension Credit, Income Support, income-based Jobseekers Allowance, income-related Employment and Support Allowance, Universal Credit and Support for Mortgage Interest. As with the current Cold Weather Payments, additional qualifying criteria for some of these benefits may also need to be satisfied, for example in relation to disability premiums paid to the client or if a disabled child is in their household.            ",6/7/2022,New benefit to help with winter fuel bills
132,"
                    
                        Latest statistics demonstrate the resilience of the economy.
                    

Newly published statistics show Scotlandâ€™s economy grew 1% in the first quarter of 2022, despite public health restrictions in place to tackle the Omicron variant.
First estimates for January â€“ March 2022 show economic growth has been driven by increased outputs in the Construction (2.5%) and Services (1.0%) sectors.
Separate monthly GDP statistics show 0.3% economic growth in March 2022.Â 
The statistics follow the publication of the EY Attractiveness Survey 2022, finding that Scotland outperformed the UK as whole when it comes to attracting Foreign Direct Investment projects, a key driver of economic growth.Â 
The Scottish Government has recently outlined plans to focus public finances in the coming years to support the ambition to build a stronger, fairer and greener economy as one of four key priorities in the Resource Spending Review.
The Resource Spending Review commits to investing almost Â£880 million to support the economy, in addition to plans for continuing the Inward Investment Plan to attract more high quality inward investment in the opportunity areas and increase export growth.
Commenting on the statistics, Economy Secretary Kate Forbes said:
â€œItâ€™s been an unprecedented time for Scotlandâ€™s economy â€“ from managing the many impacts of the pandemic, mitigating the ongoing effects of Brexit, the cost of living crisis and inflation at a record 40 year high.
â€œThese statistics show, that despite these vast and complex challenges, the public, private and third sectors that make up Scotlandâ€™s economy are resilient and have continued to grow by 1% in the first quarter of 2022.
â€œWe will continue to support families and businesses though this period, including investing almost Â£770 million this year through measures such as Scottish social security payments that are not available elsewhere in the UK, mitigating the bedroom tax and increasing the Scottish Child Payment to Â£25. The UK Government need to do more with the powers they have to support families and businesses through the cost of living crisis.
â€œWe have provided more than Â£4.7 billion in business support since the beginning of the pandemic, including around Â£1.6 billion in rates relief which includes a continuation of 50% retail, hospitality, and leisure rates relief for the first three months of 2022-23, capped at Â£27,500 per ratepayer.
â€œThe newly published Resource Spending Review will support delivery of the initial phase of the National Strategy for Economic Transformation, in line with our ambitions to create a fairer and more prosperous country.â€
Background 
Read the statistical news release
Find out more aboutÂ Scotland leading UK on investment
Find out more about theÂ Resource Spending Review            ",6/1/2022,GDP increases by 1% in first quarter of 2022
133,"
                    
                        Record social security investment in Resource Spending Review.
                    

More than Â£23 billion in social security payments are set to be delivered by the Scottish Government over the next four years, helping lift children out of poverty and mitigate the rising cost of living.
In line with Scottish Fiscal Commission forecasts, almost Â£1.8 billion is being committed to the Scottish Child Payment, which will increase to Â£25 per eligible child per week when the payment is extended to under-16s at the end of 2022.
The Resource Spending Review also allocates up to Â£300 million to tackle child poverty and deliver wider measures to reduce household costs, with separate funding to provide free school meals and boost parents' career prospects.
Finance Secretary Kate Forbes and Social Justice Secretary Shona Robison visited St Bernardâ€™s Primary School in Glasgow this morning to hear from parents who have received support through Social Security Scotlandâ€™s family benefits.
Ms Forbes said:
â€œWe are determined that nothing deflects us from our mission to tackle child poverty and deliver a fairer Scotland.
â€œOur Scottish Child Payment â€“ now reaching an estimated 103,000 children and with investment of Â£55 million in its first year â€“ is at the heart of this work. This is the most ambitious step of its kind being undertaken anywhere in the UK to put money in the pockets of parents and carers who need it most.
â€œWe are already doing everything in our power to protect families from the cost of living crisis and give them a brighter future. If the UK Government matched our ambition to mitigate those impacts, the support we have prioritised in the spending review would mean that by 2023-24 there would be around 60,000 fewer children living in poverty than in 2017.â€
Ms Robison urged everyone to check they are not missing out on valuable financial support, including the Scottish Governmentâ€™s five family benefits. One of these, the Best Start Grant School Age Payment â€“ a one-off payment of Â£267.65 per child for families in receipt of certain benefits or tax credits â€“ opens for applications today.
â€œWe know the costs of starting school can mount up, especially when rising prices are hitting families hard. Thatâ€™s why weâ€™re offering a package of support including five family benefits â€“ once weâ€™ve increased the Scottish Child Payment at the end of this year, our support could be worth more than Â£10,000 by the time an eligible familyâ€™s first child turns six,â€ Ms Robison said.
â€œI would encourage all households who think they could be eligible for benefits to check online, seek appropriate welfare advice, or get in touch with Social Security Scotland to find out more about the financial support they are eligible for. Social security is a human right and too many people are missing out on UK Government benefits, which may be a passport to receiving further support from Scotlandâ€™s social security system.â€
Background
The Resource Spending Review is a strategic framework sharing high-level plans for how funding will be invested in the coming years to meet Scottish Government priorities.
The measures set out in the tackling child poverty delivery plan 2022-26, Best Start, Bright Futures, will provide direct financial support to low-income families, including helping more than 300,000 children through the Scottish Child Payment.
To learn more about the Scottish Child Payment and to apply, visit mygov.scot/scottish-child-payment or call 0800 182 2222.
The first Official Statistics for the Scottish Child Payment were published on 31 May, covering the period to 31 March.
They show 1.2 million individual payments of Scottish Child Payment were made to more than 95,000 clients. It is estimated that 103,000 children were actively in receipt of Scottish Child Payment as at 31 March 2022. In the 2021/22 financial year, Scottish Child Payment paid out more than Â£55 million to low income families.
Best Start Grant School Age Payment, administered by Social Security Scotland, is now available to eligible families with children born between 1 March 2017 and 28 February 2018. The payment is for parents and carers receiving tax credits or certain benefits when their child becomes old enough to start primary school. Parents who have deferred their childâ€™s entry to school from August 2022 to August 2023, or those who are home-schooling, should apply this year. There is no cap on the number of children in a household who can get this payment. Children who started school last year, or who could have started school last year but who deferred until this year, are unfortunately no longer eligible.
School Age Payment applications are open until 28 February 2023. Visit mygov.scot/beststart or call 0800 182 2222 to find out more or apply.            ",6/1/2022,Prioritising national mission to tackle child poverty
